chr	start	end	gene_id	gene_length
chr17	17242010	17242886	ACTG1P24	876
chr1	202861713	202875241	ACTG1P25	13528
chr20	1160584	1161697	ACTG1P3	1113
chr1	103569553	103570674	ACTG1P4	1121
chr6	46204729	46207386	ACTG1P9	2657
chr2	73892232	73919865	ACTG2	27633
chr20	33666943	33668525	ACTL10	1582
chr3	49873347	49877305	ACTL11P	3958
chr3	179562886	179588407	ACTL6A	25521
chr7	100643097	100656458	ACTL6B	13361
chr9	108862266	108863756	ACTL7A	1490
chr9	108854588	108855986	ACTL7B	1398
chr1	17755333	17827063	ACTL8	71730
chr19	8697400	8698795	ACTL9	1395
chr19	40740856	40751803	ACTMAP	10947
chr14	68874121	68980277	ACTN1	106156
chr14	68978862	68987463	ACTN1-DT	8601
chr1	236664141	236764631	ACTN2	100490
chr11	66546395	66563334	ACTN3	16939
chr11	66558866	66560384	ACTN3-AS1	1518
chr19	38647605	38731589	ACTN4	83984
chr4	116598161	116599611	ACTN4P1	1450
chr1	37776670	37779418	ACTN4P2	2748
chr2	108099110	108099492	ACTP1	382
chr14	58200080	58235636	ACTR10	35556
chr10	102461881	102502744	ACTR1A	40863
chr2	110184054	110185179	ACTR1AP1	1125
chr2	97655939	97664114	ACTR1B	8175
chr2	65227745	65271253	ACTR2	43508
chr22	24686923	24688087	ACTR2P1	1164
chr19	20257720	20259418	ACTR2P2	1698
chr2	113889600	113962596	ACTR3	72996
chr2	113760277	113891064	ACTR3-AS1	130787
chr7	152759749	152855378	ACTR3B	95629
chr2	91940668	91942040	ACTR3BP2	1372
chr16	32379071	32380049	ACTR3BP3	978
chr4	102961956	102963327	ACTR3BP4	1371
chr10	38696424	38697902	ACTR3BP5	1478
chr22	16486985	16488322	ACTR3BP6	1337
chr22	11124337	11125705	ACTR3BP7	1368
chr7	150243916	150323725	ACTR3C	79809
chr3	101163094	101163986	ACTR3P3	892
chr20	38748457	38772520	ACTR5	24063
chr12	100199122	100241865	ACTR6	42743
chr4	106836498	106837601	ACTR6P1	1103
chr3	53863038	53882198	ACTR8	19160
chr1	3021467	3022903	ACTRT2	1436
chr3	169765610	169769665	ACTRT3	4055
chr2	157736249	157876347	ACVR1	140098
chr12	51951679	51997082	ACVR1B	45403
chr2	157526767	157628885	ACVR1C	102118
chr2	147844378	147930826	ACVR2A	86448
chr3	38453890	38493142	ACVR2B	39252
chr3	38451027	38454820	ACVR2B-AS1	3793
chr12	51906908	51923361	ACVRL1	16453
chr3	51983047	51989205	ACY1	6158
chr11	67642551	67650900	ACY3	8349
chr14	75053221	75069483	ACYP1	16262
chr2	53970838	54305300	ACYP2	334462
chr20	44584896	44652252	ADA	67356
chr22	17178790	17258235	ADA2	79445
chr4	122378966	122429802	ADAD1	50836
chr3	39285985	39287920	ADAD1P1	1935
chr18	50063795	50064440	ADAD1P2	645
chr16	84191125	84197168	ADAD2	6043
chr15	58588809	58749842	ADAM10	161033
chr17	44758988	44781846	ADAM11	22858
chr10	126012381	126388477	ADAM12	376096
chr1	155050566	155062780	ADAM15	12214
chr2	9488486	9556732	ADAM17	68246
chr8	39584489	39730065	ADAM18	145576
chr5	157395534	157575858	ADAM19	180324
chr12	111899263	111901391	ADAM1A	2128
chr12	111927018	111929017	ADAM1B	1999
chr8	39743735	39838227	ADAM2	94492
chr14	70522358	70535015	ADAM20	12657
chr14	70453541	70483775	ADAM20P1	30234
chr4	175574868	175576140	ADAM20P2	1272
chr4	187746094	187748199	ADAM20P3	2105
chr14	70417107	70460427	ADAM21	43320
chr14	70245491	70247660	ADAM21P1	2169
chr7	87934136	88202889	ADAM22	268753
chr2	206443498	206621301	ADAM23	177803
chr8	17469518	17471618	ADAM24P	2100
chr8	24294016	24359014	ADAM28	64998
chr4	174829668	174978180	ADAM29	148512
chr1	119893533	119896515	ADAM30	2982
chr8	39106990	39284917	ADAM32	177927
chr20	3667962	3682246	ADAM33	14284
chr8	39451045	39522852	ADAM3A	71807
chr16	49517762	49518601	ADAM3B	839
chr8	39314591	39417378	ADAM5	102787
chr14	105969729	105972269	ADAM6	2540
chr8	24440930	24526970	ADAM7	86040
chr8	24169001	24912073	ADAM7-AS1	743072
chr8	24490312	24524887	ADAM7-AS2	34575
chr10	133262416	133276909	ADAM8	14493
chr8	38996754	39105445	ADAM9	108691
chr8	24384285	24406013	ADAMDEC1	21728
chr21	26835755	26845409	ADAMTS1	9654
chr19	8580240	8610735	ADAMTS10	30495
chr5	33523535	33892019	ADAMTS12	368484
chr9	133414358	133459402	ADAMTS13	45044
chr10	70672367	70762441	ADAMTS14	90074
chr11	130448645	130476645	ADAMTS15	28000
chr5	5140329	5320304	ADAMTS16	179975
chr5	5142138	5176214	ADAMTS16-AS1	34076
chr5	5132084	5140808	ADAMTS16-DT	8724
chr15	99971437	100342005	ADAMTS17	370568
chr16	77247813	77435034	ADAMTS18	187221
chr5	129459686	129738683	ADAMTS19	278997
chr5	129351104	129466096	ADAMTS19-AS1	114992
chr5	179110853	179345461	ADAMTS2	234608
chr12	43352771	43552203	ADAMTS20	199432
chr4	72280969	72569221	ADAMTS3	288252
chr1	161184302	161200509	ADAMTS4	16207
chr21	26917922	26967088	ADAMTS5	49166
chr5	65148738	65481920	ADAMTS6	333182
chr15	78759204	78811503	ADAMTS7	52299
chr15	82298553	82334609	ADAMTS7P1	36056
chr15	77976042	77993057	ADAMTS7P3	17015
chr15	85255369	85270892	ADAMTS7P4	15523
chr22	42791814	42794313	ADAMTS7P5	2499
chr11	130404923	130428609	ADAMTS8	23686
chr3	64515654	64688000	ADAMTS9	172346
chr3	64561322	64592757	ADAMTS9-AS1	31435
chr3	64684879	65061892	ADAMTS9-AS2	377013
chr9	17906563	18910950	ADAMTSL1	1004387
chr9	133532164	133575522	ADAMTSL2	43358
chr15	83653683	84039842	ADAMTSL3	386159
chr1	150549369	150560937	ADAMTSL4	11568
chr1	150560202	150562115	ADAMTSL4-AS1	1913
chr1	150548562	150557724	ADAMTSL4-AS2	9162
chr19	1505022	1513604	ADAMTSL5	8582
chr7	897900	955407	ADAP1	57507
chr17	30906344	30959945	ADAP2	53601
chr1	154581695	154628013	ADAR	46318
chr21	45073839	45226560	ADARB1	152721
chr10	1177313	1737525	ADARB2	560212
chr10	1526584	1557574	ADARB2-AS1	30990
chr16	75596868	75623300	ADAT1	26432
chr6	143422832	143450695	ADAT2	27863
chr19	1905399	1913447	ADAT3	8048
chr14	77800064	77935014	ADCK1	134950
chr7	140672885	140696261	ADCK2	23376
chr8	144373101	144393242	ADCK5	20141
chr7	45574140	45723116	ADCY1	148976
chr1	167809386	167914215	ADCY10	104829
chr6	41101034	41140835	ADCY10P1	39801
chr5	7395681	7830081	ADCY2	434400
chr2	24819169	24920299	ADCY3	101130
chr14	24318349	24335093	ADCY4	16744
chr3	123282296	123449090	ADCY5	166794
chr12	48766191	48789906	ADCY6	23715
chr12	48787978	48801483	ADCY6-DT	13505
chr16	50246137	50318135	ADCY7	71998
chr8	130780300	131041587	ADCY8	261287
chr16	3953387	4116442	ADCY9	163055
chr18	904871	912172	ADCYAP1	7301
chr7	31052308	31111475	ADCYAP1R1	59167
chr4	2843576	2930082	ADD1	86506
chr2	70607618	70768499	ADD2	160881
chr10	109996356	110135565	ADD3	139209
chr10	109929547	110008393	ADD3-AS1	78846
chr6	146598967	146815462	ADGB	216495
chr6	146582626	146598936	ADGB-DT	16310
chr10	133087924	133131675	ADGRA1	43751
chr10	133083069	133088491	ADGRA1-AS1	5422
chr8	37784191	37844896	ADGRA2	60705
chr4	22345071	22516089	ADGRA3	171018
chr18	12075205	12076654	ADGRA3P1	1449
chr8	142449430	142545009	ADGRB1	95579
chr1	31727117	31764893	ADGRB2	37776
chr6	68635282	69390571	ADGRB3	755289
chr6	68627865	68635898	ADGRB3-DT	8033
chr12	130953055	131142466	ADGRD1	189411
chr12	130990138	130993976	ADGRD1-AS1	3838
chr12	131029110	131035487	ADGRD1-AS2	6377
chr9	124450451	124478589	ADGRD2	28138
chr19	6887566	6940459	ADGRE1	52893
chr19	14732392	14778560	ADGRE2	46168
chr19	14599080	14690027	ADGRE3	90947
chr19	6954659	6990798	ADGRE4P	36139
chr19	14380501	14408729	ADGRE5	28228
chr6	46997708	47042350	ADGRF1	44642
chr6	47673420	47693719	ADGRF2P	20299
chr2	26308173	26346817	ADGRF3	38644
chr6	47685864	47722021	ADGRF4	36157
chr6	46852310	46956392	ADGRF5	104082
chr6	46903471	46909078	ADGRF5-AS1	5607
chr9	62860873	62862007	ADGRF5P1	1134
chr9	42795392	42800672	ADGRF5P2	5280
chr16	57610652	57665580	ADGRG1	54928
chr16	57668277	57689378	ADGRG3	21101
chr16	57542643	57591681	ADGRG5	49038
chr6	142301854	142446266	ADGRG6	144412
chr3	100609601	100695479	ADGRG7	85878
chr19	14147743	14206204	ADGRL1	58461
chr19	14137086	14171268	ADGRL1-AS1	34182
chr1	81306112	81993940	ADGRL2	687828
chr4	61200326	62078335	ADGRL3	878009
chr4	62051272	62165554	ADGRL3-AS1	114282
chr1	78889764	79282124	ADGRL4	392360
chr5	90529344	91164437	ADGRV1	635093
chr4	99276365	99291552	ADH1A	15187
chr4	99304971	99321659	ADH1B	16688
chr4	99336093	99353887	ADH1C	17794
chr4	99123657	99157792	ADH4	34135
chr4	99070978	99088801	ADH5	17823
chr1	79521080	79522203	ADH5P2	1123
chr1	240170155	240171291	ADH5P3	1136
chr6	65836930	65838039	ADH5P4	1109
chr5	23980587	23980938	ADH5P5	351
chr4	99202436	99219537	ADH6	17101
chr4	99412261	99435510	ADH7	23249
chr8	66432467	66468907	ADHFE1	36440
chr2	3497366	3519559	ADI1	22193
chr20	41331123	41331660	ADI1P1	537
chr8	102688317	102688906	ADI1P2	589
chr12	47463087	47463621	ADI1P3	534
chr20	38581195	38588463	ADIG	7268
chr9	98911204	98929534	ADIPINT	18330
chr3	186842704	186858463	ADIPOQ	15759
chr3	186851886	186856123	ADIPOQ-AS1	4237
chr1	202940090	202958572	ADIPOR1	18482
chr10	22162992	22165794	ADIPOR1P1	2802
chr14	94631863	94634528	ADIPOR1P2	2665
chr12	1688574	1788680	ADIPOR2	100106
chr10	86968432	87007922	ADIRF	39490
chr10	86965288	86974630	ADIRF-AS1	9342
chr20	3753505	3768738	ADISSP	15233
chr10	74151191	74709963	ADK	558772
chr11	10303392	10307397	ADM	4005
chr11	10294628	10304188	ADM-DT	9560
chr22	50481543	50486440	ADM2	4897
chr19	49688953	49690575	ADM5	1622
chr20	50888916	50931437	ADNP	42521
chr20	50930236	50946531	ADNP-AS1	16295
chr18	80109262	80147523	ADNP2	38261
chr10	62804720	62808479	ADO	3759
chr1	203090654	203167407	ADORA1	76753
chr1	203144694	203152579	ADORA1-AS1	7885
chr1	203115468	203128367	ADORA1-AS2	12899
chr22	24417879	24443177	ADORA2A	25298
chr22	24429206	24495074	ADORA2A-AS1	65868
chr17	15945130	15975746	ADORA2B	30616
chr1	209744373	209745214	ADORA2BP1	841
chr1	111499429	111503633	ADORA3	4204
chr15	72751294	72785846	ADPGK	34552
chr15	72782835	72798201	ADPGK-AS1	15366
chr3	119579268	119590165	ADPRH	10897
chr13	113399611	113453488	ADPRHL1	53877
chr17	10697594	10711558	ADPRM	13964
chr1	36088878	36093932	ADPRS	5054
chr8	26748150	26867278	ADRA1A	119128
chr5	159865080	159973012	ADRA1B	107932
chr20	4220630	4249287	ADRA1D	28657
chr10	111077029	111080907	ADRA2A	3878
chr2	96112876	96116571	ADRA2B	3695
chr4	3766348	3768526	ADRA2C	2178
chr10	114043866	114046904	ADRB1	3038
chr5	148826611	148828623	ADRB2	2012
chr8	37962990	37966599	ADRB3	3609
chr20	62302066	62308867	ADRM1	6801
chr22	40346461	40390463	ADSL	44002
chr14	104724174	104747325	ADSS1	23151
chr1	244408494	244451909	ADSS2	43415
chr6	11712054	11807046	ADTRP	94992
chr7	44104295	44114565	AEBP1	10270
chr12	19404045	19720801	AEBP2	316756
chr15	88620070	88632281	AEN	12211
chr4	7758713	7939926	AFAP1	181213
chr4	7754077	7778928	AFAP1-AS1	24851
chr5	149271823	149343637	AFAP1L1	71814
chr10	114293604	114404775	AFAP1L2	111171
chr6	167826859	167972023	AFDN	145164
chr6	167781478	167827561	AFDN-DT	46083
chr4	86934237	87141073	AFF1	206836
chr2	99545419	100192428	AFF3	647009
chr5	132875395	132963634	AFF4	88239
chr5	132963730	133023913	AFF4-DT	60183
chr3	133409955	133410843	AFF4P1	888
chr6	108294926	108526796	AFG1L	231870
chr4	122923070	123319433	AFG2A	396363
chr15	45402336	45421415	AFG2B	19079
chr16	89972581	90002161	AFG3L1P	29580
chr18	12328932	12377473	AFG3L2	48541
chr8	43270198	43271960	AFG3L2P1	1762
chr4	73481665	73504036	AFM	22371
chr17	78187330	78207703	AFMID	20373
chr4	73431138	73456174	AFP	25036
chr2	64524289	64593007	AFTPH	68718
chr2	64522187	64524789	AFTPH-DT	2602
chr4	177430774	177442444	AGA	11670
chr4	177442514	177681381	AGA-DT	238867
chr2	235494043	236131793	AGAP1	637750
chr2	235505539	235507571	AGAP1-IT1	2032
chr10	45678692	45700532	AGAP10P	21840
chr10	87001636	87009905	AGAP11	8269
chr10	48006764	48031969	AGAP12P	25205
chr10	46816516	46837947	AGAP13P	21431
chr10	46337224	46358714	AGAP14P	21490
chr12	57723761	57742157	AGAP2	18396
chr12	57726271	57728356	AGAP2-AS1	2085
chr7	151085831	151144436	AGAP3	58605
chr10	45825594	45853875	AGAP4	28281
chr10	73674287	73698109	AGAP5	23822
chr10	49982190	50011654	AGAP6	29464
chr10	46109621	46131358	AGAP7P	21737
chr10	47501854	47523638	AGAP9	21784
chr15	86079871	87049169	AGBL1	969298
chr15	86295649	86317173	AGBL1-AS1	21524
chr11	47659591	47715389	AGBL2	55798
chr7	134986508	135147963	AGBL3	161455
chr1	48532854	50023954	AGBL4	1491100
chr1	49257411	49269285	AGBL4-AS1	11874
chr1	49374201	49472085	AGBL4-IT1	97884
chr2	27042364	27070622	AGBL5	28258
chr2	27049683	27050264	AGBL5-AS1	581
chr2	27061038	27061815	AGBL5-IT1	777
chr6	32180963	32184344	AGER	3381
chr2	227472134	227561217	AGFG1	89083
chr7	100539190	100568220	AGFG2	29030
chr5	77029251	77065234	AGGF1	35983
chr4	190041342	190043414	AGGF1P1	2072
chr20	29430723	29432913	AGGF1P10	2190
chr10	133640789	133642894	AGGF1P2	2105
chr3	75653561	75654773	AGGF1P3	1212
chr16	35389203	35390003	AGGF1P4	800
chr16	35420291	35421209	AGGF1P5	918
chr16	35489237	35490212	AGGF1P6	975
chr16	35547917	35548829	AGGF1P7	912
chr16	35258630	35259629	AGGF1P8	999
chr16	35347385	35348297	AGGF1P9	912
chr7	141551278	141655244	AGK	103966
chr7	141499913	141551345	AGK-DT	51432
chr1	99849777	99924024	AGL	74247
chr1	15571699	15585078	AGMAT	13379
chr7	15200317	15562017	AGMO	361700
chr1	35869808	35930532	AGO1	60724
chr8	140520156	140635633	AGO2	115477
